,artist_name,track_name,track_id,popularity
278,LANCO,Greatest Love Story,2yQZwi1P8AkkxxFhQ8rMEK,76
279,Lil Yachty,Get Dripped (feat. Playboi Carti),3m2aDCqn8eT5ElXDUiboGU,77
280,YoungBoy Never Broke Again,Murda (feat. Trippie Redd),2CEXhYY4cGmjyTyZJw7Wo0,75
281,The Weeknd,Call Out My Name,4MPTj8lMMvxLwT3EwuXFop,83
282,Brytiago,Asesina - Remix,59PYgzOiOjGDzjDT5N5oOX,86
283,Maroon 5,What Lovers Do (feat. SZA),2j5hsQvApottzvTn4pFJWF,77
284,88rising,Midsummer Madness,6TodWdTSDfzwgYynTZSvJn,79
285,Joji,TEST DRIVE,1DMEzmAoQIikcL52psptQL,78
286,J Balvin,Reggaeton,2D3z17LBMJ2HEHeBFFjTLi,90
287,Bazzi,Why,7lozLnUfzcgEpMMVQI7yhA,79
288,Jacquees,You,01jIO8SJFnpSiNLH1JaBZ5,77
289,Calvin Harris,Promises (with Sam Smith),5N5k9nd479b1xpDZ4usjrg,90
290,George Ezra,Shotgun,4ofwffwvvnbSkrMSCKQDaC,88
291,Charlie Puth,Attention,5cF0dROlMOK5uNZtivgu50,84
292,Bad Bunny,200 Mph,5jGUJXnELDaDTgiRjD9lsg,81
293,Young Thug,Sin (feat. Jaden Smith),1Jl21sidRpEdlVBvYbssLx,77
294,JID,Off Deez (with J. Cole),3JAeYOjyJodI4PRs44lx2l,77
295,MadeinTYO,Ned Flanders (feat. A$AP Ferg),2EUNZfjPToKZIahK0WMLKd,77
296,Post Malone,Over Now,09IOPhEh1OMe0HD9b36FJk,80
297,SHAED,Trampoline,0lsRatBUs9HNIZAmoGABzk,81
298,Brett Young,Here Tonight,38nVuIj9mi5a8oopOJhSJk,76
299,KIDS SEE GHOSTS,Reborn,4RVbK6cV0VqWdpCDcx3hiT,77
300,Mitchell Tenpenny,Drunk Me,1G4cdOtF36ZCs6i2dZoC87,76
301,Dierks Bentley,Burning Man,4a1oIihVt6xSnDRpgX387M,76
302,Nicki Minaj,"Familia (with Anuel Aa, feat. Bantu) - Spider-Man: Into the Spider-Verse",4Uy3kNxW2kB8AEoXljEcth,81
303,Juice WRLD,Candles,1wa6QQsdSE3X2GbRljGpFk,76
304,Trippie Redd,BANG!,1pF74yw15wXk12A1NPVWHD,75
