,artist_name,track_name,track_id,popularity
260,Logic,44 More,3e7Y6sfFlIdBMJhX7wpqVO,78
261,Lukas Graham,Love Someone,2JqnpexlO9dmvjUMCaLCLJ,86
262,Eminem,The Ringer,2jt2WxXMCD4zjACthkJQVE,80
263,Post Malone,Spoil My Night (feat. Swae Lee),5VuxWXbt7XENQCtE9TzpTv,79
264,Why Don't We,8 Letters,4zRZAmBQP8vhNPf9i9opXt,81
265,Blackway,What's Up Danger (with Black Caviar),5zsHmE2gO3RefVsPyw2e3T,79
266,Roddy Ricch,Die Young,1lWK70HfYRFZtWJUwUrY48,78
267,YNW Melly,Mind On My Murder,2xBfOUdiRafSWGqTj4yToU,76
268,Khalid,Suncity (feat. Empress Of),6SkHm6poyKfzV6kc9any8k,82
269,Sabrina Carpenter,Sue Me,3WVhkjB7Y4xFruqoCAajBb,80
270,Maroon 5,Girls Like You (feat. Cardi B),6V1bu6o1Yo5ZXnsCJU8Ovk,77
271,LANCO,Greatest Love Story,2yQZwi1P8AkkxxFhQ8rMEK,76
272,Kanye West,All Mine,3U21A07gAloCc4P7J8rxcn,78
273,Dierks Bentley,Burning Man,4a1oIihVt6xSnDRpgX387M,76
274,Lil Yachty,Get Dripped (feat. Playboi Carti),3m2aDCqn8eT5ElXDUiboGU,77
275,Eminem,Venom - Music From The Motion Picture,2SL6oP2YAEQbqsrkOzRGO4,82
276,Travis Scott,NO BYSTANDERS,6OaVWaGfhXn70ZJfdVcabn,78
277,YoungBoy Never Broke Again,Murda (feat. Trippie Redd),2CEXhYY4cGmjyTyZJw7Wo0,75
278,Joji,TEST DRIVE,1DMEzmAoQIikcL52psptQL,78
279,The Weeknd,Call Out My Name,4MPTj8lMMvxLwT3EwuXFop,83
280,88rising,Midsummer Madness,6TodWdTSDfzwgYynTZSvJn,79
281,Mitchell Tenpenny,Drunk Me,1G4cdOtF36ZCs6i2dZoC87,76
282,Tyga,SWISH,55GiOwtxNajXVbpjjIzMnD,83
283,George Ezra,Shotgun,4ofwffwvvnbSkrMSCKQDaC,88
284,Bazzi,Why,7lozLnUfzcgEpMMVQI7yhA,79
285,J Balvin,Reggaeton,2D3z17LBMJ2HEHeBFFjTLi,90
286,Maroon 5,What Lovers Do (feat. SZA),2j5hsQvApottzvTn4pFJWF,77
287,6ix9ine,"MAMA (feat. Nicki Minaj, Kanye West)",1oJ8EDr2pv94IvSd6ZmDgo,80
288,Brytiago,Asesina - Remix,59PYgzOiOjGDzjDT5N5oOX,86
289,Jacquees,You,01jIO8SJFnpSiNLH1JaBZ5,77
290,Charlie Puth,Attention,5cF0dROlMOK5uNZtivgu50,84
291,Calvin Harris,Promises (with Sam Smith),5N5k9nd479b1xpDZ4usjrg,90
292,MadeinTYO,Ned Flanders (feat. A$AP Ferg),2EUNZfjPToKZIahK0WMLKd,77
293,Brett Young,Here Tonight,38nVuIj9mi5a8oopOJhSJk,76
294,JID,Off Deez (with J. Cole),3JAeYOjyJodI4PRs44lx2l,77
295,Young Thug,Sin (feat. Jaden Smith),1Jl21sidRpEdlVBvYbssLx,77
296,Bad Bunny,200 Mph,5jGUJXnELDaDTgiRjD9lsg,81
297,Post Malone,Over Now,09IOPhEh1OMe0HD9b36FJk,80
298,KIDS SEE GHOSTS,Reborn,4RVbK6cV0VqWdpCDcx3hiT,77
299,Kelsea Ballerini,Miss Me More,5NfJGBAL9mgFPRQxKJmiX2,75
300,Kelsea Ballerini,Miss Me More,5NfJGBAL9mgFPRQxKJmiX2,75
301,Chris Lane,I Don't Know About You,3yOs8FffuG6hPbzQG9lIqV,75
302,Kiana Ledé,EX,47cQCF21TczFSmGfpd7c07,78
303,Calum Scott,Dancing On My Own,2BOqDYLOJBiMOXShCV1neZ,83
304,Nicki Minaj,"Familia (with Anuel Aa, feat. Bantu) - Spider-Man: Into the Spider-Verse",4Uy3kNxW2kB8AEoXljEcth,81
305,Trippie Redd,BANG!,1pF74yw15wXk12A1NPVWHD,75
306,Ariana Grande,sweetener,70khXICDeTTxgYtw3EysKH,79
307,Juice WRLD,Candles,1wa6QQsdSE3X2GbRljGpFk,76
308,SHAED,Trampoline,0lsRatBUs9HNIZAmoGABzk,80
309,Joyner Lucas,I Love,30z4LVkScpeNhwHFIB8Ewa,78
310,Sam Smith,"Fire On Fire - From ""Watership Down""",5rFj8OzffT0iggSjcBaeND,86
